Misspelling,RealWord,pyspellchecker_correction,textblob_correction,aspell_correction,bert_correction
Apenines,Apennines,pennies,Openings,Apennines,[UNK]
Appenines,Apennines,appetites,Appenines,Apennines,latin
Athenean,Athenian,atheneum,Athenian,Athenian,[UNK]
Atheneans,Athenians,atheneums,Atheneans,Athenians,greek
Bernouilli,Bernoulli,,Bernouilli,Bernoulli,:
Blitzkreig,Blitzkrieg,blitzkrieg,Blitzkreig,Blitzkrieg,blitz
Brasillian,Brazilian,brasilein,Brasillian,Brazilian,latin
Britian,Britain,titian,Britain,Britain,english
Brittish,British,brutish,British,British,english
Ceasar,Caesar,cesar,Caesar,Caesar,[UNK]
Cambrige,Cambridge,cambric,Cambridge,Cambridge,c
carcas,Caracas,carcass,carts,carcass,c
Carribean,Caribbean,,Carribean,Caribbean,english
Carthagian,Carthaginian,,Carthagian,Carthaginian,latin
Cataline,Catalina,calamine,Natalie,Catalina,[UNK]
Cataline,Catiline,calamine,Natalie,Catalina,[UNK]
Celcius,Celsius,calcium,Celcius,Celsius,latin
Champange,Champagne,champagne,Champagne,Champagne,french
Conneticut,Connecticut,,Connecticut,Connecticut,english
Cyprian,Cypriot,,Syrian,Cyprian,latin
eles,Ellis,else,eyes,eels,el
Enlish,English,english,English,English,[UNK]
Europian,European,utopian,European,European,greek
Eurpean,European,,European,European,latin
Eurpoean,European,,European,European,english
Europians,Europeans,utopians,Europeans,Europeans,greek
febuary,February,rebury,february,February,unknown
Flemmish,Flemish,blemish,Flemmish,Flemish,[UNK]
Fransiscan,Franciscan,,Fransiscan,Franciscan,latin
Fransiscans,Franciscans,,Fransiscans,Franciscans,latin
gae,Gael,gave,gave,Gaea,e
Galations,Galatians,relations,Relations,Galatians,here
Ghandi,Gandhi,hands,Hand,Gandhi,[UNK]
gogin,Gauguin,login,login,Gorgon,[UNK]
Guatamala,Guatemala,guatemala,Guatemala,Guatemala,[UNK]
Guatamalan,Guatemalan,guatemala,Guatamalan,Guatemalan,[UNK]
Guiness,Guinness,guineas,Business,Guinness,not
Israelies,Israelis,,Israelies,Israelis,hebrew
Ihaca,Ithaca,hack,Hack,Ithaca,[UNK]
Jaques,Jacques,values,Values,Jacques,j
Japanes,Japanese,japan's,Japanese,Japanese,[UNK]
Jospeh,Joseph,gospel,Joseph,Joseph,[UNK]
Juadaism,Judaism,dadaism,Juadaism,Judaism,[UNK]
Juadism,Judaism,sadism,Juadism,Judaism,[UNK]
Lybia,Libya,labia,Tibia,Labia,[UNK]
Malcom,Malcolm,mascot,Falcon,Malcolm,unknown
maltesian,Maltese,artesian,maltesian,Malthusian,latin
liason,Mara_Liasson,liaison,liaison,liaison,[UNK]
Massachussets,Massachusetts,,Massachussets,Massachusetts,[UNK]
Massachussetts,Massachusetts,,Massachusetts,Massachusetts,[UNK]
Mediteranean,Mediterranean,,Mediterranean,Mediterranean,latin
Michagan,Michigan,,Michigan,Michigan,john
meranda,Miranda,veranda,veranda,Miranda,[UNK]
Missisipi,Mississippi,,Missisipi,Mississippi,[UNK]
Missisippi,Mississippi,,Mississippi,Mississippi,[UNK]
Misouri,Missouri,,Missouri,Missouri,[UNK]
Mohammedan,Muslim,,Mohammedan,Mohammedan,arabic
Muhammadan,Muslim,,Muhammadan,Muhammadan,muhammad
Mohammedans,Muslims,,Mohammedans,Mohammedans,mohammed
Nazereth,Nazareth,,Nazereth,Nazareth,r
Newyorker,New_Yorker,,Newyorker,Newark,unknown
Foundland,Newfoundland,foundling,Foundland,Found land,found
Nuremburg,Nuremberg,,Luxemburg,Nuremberg,german
orginal,Orignal,original,original,original,[UNK]
Palistian,Palestinian,pakistan,Palistian,Alsatian,[UNK]
Palistinian,Palestinian,,Palistinian,Palestinian,greek
Phillipine,Philippine,,Phillipine,Philippine,phillip
Philipines,Philippines,philippines,Philippines,Philippines,philip
Phillipines,Philippines,philippines,Phillipines,Philippines,phillip
Phillippines,Philippines,philippines,Philippines,Philippines,[UNK]
Portugese,Portuguese,portages,Portuguese,Portuguese,[UNK]
Pucini,Puccini,puking,Mucin,Puccini,latin
Rockerfeller,Rockefeller,,Rockefeller,Rockefeller,german
Russion,Russian,mission,Russian,Russian,russ
russina,Russian,russia,russian,Russian,russ
Saterday,Saturday,waterway,Saturday,Saturday,here
Saterdays,Saturdays,waterways,Waterways,Saturdays,[UNK]
Sixtin,Sistine,sitting,Sixtin,Sexton,six
spainish,Spanish,swinish,spanish,Spanish,english
tiem,Tim,them,them,time,[UNK]
Ukranian,Ukrainian,,Ukranian,Ukrainian,[UNK]
Valetta,Valletta,valet,Valetta,Valletta,[UNK]
wendsay,Wednesday,wends,wendsay,wends,[UNK]
wensday,Wednesday,weekday,wednesday,wens day,english
Sionist,Zionist,pianist,Unionist,Zionist,[UNK]
Sionists,Zionists,pianists,Unionists,Zionists,[UNK]
alot,a_lot,lot,clot,alto,[UNK]
abondon,abandon,abandon,abandon,abandon,[UNK]
abondoned,abandoned,abandoned,abandoned,abandoned,omitted
abondoning,abandoning,abandoning,abandoning,abandoning,missing
abondons,abandons,abandons,abandons,abandons,ab
aberation,aberration,aberration,operation,aberration,[UNK]
baout,about,about,about,about,[UNK]
boaut,about,boat,boat,boat,[UNK]
absense,absence,absence,absence,absence,[UNK]
asorbed,absorbed,absorbed,absorbed,absorbed,used
absorbsion,absorption,absorption,absorption,absorbs ion,omitted
absorbtion,absorption,absorption,absorption,absorption,omitted
abutts,abuts,butts,butts,abuts,[UNK]
acceptible,acceptable,acceptable,acceptable,acceptable,unknown
accessable,accessible,accessible,accessible,accessible,used
accension,accession,ascension,accession,Ascension,omitted
accidently,accidentally,accidently,accidently,accidental,missing
acclimitization,acclimatization,acclimatization,acclimitization,acclimatisation,omitted
